ban_rate,event,hero,no_bans,no_picks,no_picks_bans,pick_ban_rate,pick_rate,win_rate,attribute
0,The Boston Major 2016,Crystal Maiden,0,0,0,0,0,0,Intelligence
0,The Boston Major 2016,Lich,0,0,0,0,0,0,Intelligence
0,The Boston Major 2016,Necrophos,0,0,0,0,0,0,Intelligence
0,The Boston Major 2016,Skywrath Mage,0,0,0,0,0,0,Intelligence
0,The Boston Major 2016,Techies,0,0,0,0,0,0,Intelligence
0,The Boston Major 2016,Zeus,0,0,0,0,0,0,Intelligence
42.42%,The Frankfurt Major 2015,Tusk,42,56,98,98.99%,56.57%,50.00%,Strength
57.58%,The Frankfurt Major 2015,Shadow Fiend,57,37,94,94.95%,37.37%,56.76%,Agility
72.73%,The Frankfurt Major 2015,Doom,72,21,93,93.94%,21.21%,47.62%,Strength
36.36%,The Frankfurt Major 2015,Winter Wyvern,36,49,85,85.86%,49.49%,55.10%,Intelligence
48.48%,The Frankfurt Major 2015,Queen of Pain,48,35,83,83.84%,35.35%,42.86%,Intelligence
49.49%,The Frankfurt Major 2015,Dark Seer,49,32,81,81.82%,32.32%,50.00%,Intelligence
35.35%,The Frankfurt Major 2015,Gyrocopter,35,45,80,80.81%,45.45%,42.22%,Agility
39.39%,The Frankfurt Major 2015,Slardar,39,38,77,77.78%,38.38%,52.63%,Strength
30.30%,The Frankfurt Major 2015,Dazzle,30,43,73,73.74%,43.43%,53.49%,Intelligence
42.42%,The Frankfurt Major 2015,Undying,42,30,72,72.73%,30.30%,60.00%,Strength
35.35%,The Frankfurt Major 2015,Ember Spirit,35,28,63,63.64%,28.28%,53.57%,Agility
33.33%,The Frankfurt Major 2015,Ancient Apparition,33,26,59,59.60%,26.26%,53.85%,Intelligence
25.25%,The Frankfurt Major 2015,Bane,25,33,58,58.59%,33.33%,51.52%,Intelligence
21.21%,The Frankfurt Major 2015,Windranger,21,32,53,53.54%,32.32%,34.38%,Intelligence
25.25%,The Frankfurt Major 2015,Night Stalker,25,28,53,53.54%,28.28%,39.29%,Strength
39.39%,The Frankfurt Major 2015,Broodmother,39,8,47,47.47%,8.08%,50.00%,Agility
31.31%,The Frankfurt Major 2015,Io,31,13,44,44.44%,13.13%,46.15%,Strength
28.28%,The Frankfurt Major 2015,Juggernaut,28,13,41,41.41%,13.13%,46.15%,Agility
17.17%,The Frankfurt Major 2015,Lina,17,24,41,41.41%,24.24%,33.33%,Intelligence
17.17%,The Frankfurt Major 2015,Spirit Breaker,17,21,38,38.38%,21.21%,42.86%,Strength
28.28%,The Frankfurt Major 2015,Huskar,28,9,37,37.37%,9.09%,66.67%,Strength
7.07%,The Frankfurt Major 2015,Earthshaker,7,28,35,35.35%,28.28%,60.71%,Strength
16.16%,The Frankfurt Major 2015,Templar Assassin,16,16,32,32.32%,16.16%,56.25%,Agility
14.14%,The Frankfurt Major 2015,Clockwerk,14,18,32,32.32%,18.18%,38.89%,Strength
16.16%,The Frankfurt Major 2015,Anti-Mage,16,11,27,27.27%,11.11%,54.55%,Agility
3.03%,The Frankfurt Major 2015,Tiny,3,24,27,27.27%,24.24%,50.00%,Strength
13.13%,The Frankfurt Major 2015,Beastmaster,13,14,27,27.27%,14.14%,42.86%,Strength
16.16%,The Frankfurt Major 2015,Viper,16,11,27,27.27%,11.11%,45.45%,Agility
10.10%,The Frankfurt Major 2015,Alchemist,10,15,25,25.25%,15.15%,60.00%,Strength
11.11%,The Frankfurt Major 2015,Bounty Hunter,11,12,23,23.23%,12.12%,75.00%,Agility
11.11%,The Frankfurt Major 2015,Phantom Lancer,11,11,22,22.22%,11.11%,72.73%,Agility
8.08%,The Frankfurt Major 2015,Visage,8,14,22,22.22%,14.14%,57.14%,Intelligence
10.10%,The Frankfurt Major 2015,Lich,10,11,21,21.21%,11.11%,45.45%,Intelligence
9.09%,The Frankfurt Major 2015,Disruptor,9,11,20,20.20%,11.11%,27.27%,Intelligence
3.03%,The Frankfurt Major 2015,Rubick,3,14,17,17.17%,14.14%,57.14%,Intelligence
10.10%,The Frankfurt Major 2015,Bristleback,10,6,16,16.16%,6.06%,50.00%,Strength
6.06%,The Frankfurt Major 2015,Dragon Knight,6,8,14,14.14%,8.08%,87.50%,Strength
6.06%,The Frankfurt Major 2015,Razor,6,7,13,13.13%,7.07%,71.43%,Agility
3.03%,The Frankfurt Major 2015,Vengeful Spirit,3,9,12,12.12%,9.09%,33.33%,Agility
4.04%,The Frankfurt Major 2015,Shadow Shaman,4,8,12,12.12%,8.08%,62.50%,Intelligence
