Hero,Total Picks,Picks %,Win %,Total Bans,Bans %,Total Picks Bans,Picks Bans %,Event
Batrider,48,29.63%,45.83%,113,69.75%,161,99.38%,The International 2013
Outworld Devourer,32,19.75%,37.50%,120,74.07%,152,93.83%,The International 2013
Lifestealer,67,41.36%,56.72%,84,51.85%,151,93.21%,The International 2013
Visage,88,54.32%,55.68%,62,38.27%,150,92.59%,The International 2013
Chen,65,40.12%,63.08%,75,46.30%,140,86.42%,The International 2013
Io,27,16.67%,62.96%,107,66.05%,134,82.72%,The International 2013
Dark Seer,59,36.42%,52.54%,73,45.06%,132,81.48%,The International 2013
Alchemist,60,37.04%,46.67%,72,44.44%,132,81.48%,The International 2013
Weaver,75,46.30%,57.33%,47,29.01%,122,75.31%,The International 2013
Natures Prophet,69,42.59%,47.83%,41,25.31%,110,67.90%,The International 2013
Dragon Knight,57,35.19%,43.86%,50,30.86%,107,66.05%,The International 2013
Naga Siren,43,26.54%,55.81%,58,35.80%,101,62.35%,The International 2013
Gyrocopter,48,29.63%,56.25%,46,28.40%,94,58.02%,The International 2013
Rubick,69,42.59%,40.58%,23,14.20%,92,56.79%,The International 2013
Nyx Assassin,46,28.40%,52.17%,32,19.75%,78,48.15%,The International 2013
Puck,43,26.54%,58.14%,32,19.75%,75,46.30%,The International 2013
Razor,27,16.67%,48.15%,48,29.63%,75,46.30%,The International 2013
Shadow Demon,31,19.14%,45.16%,35,21.60%,66,40.74%,The International 2013
Enchantress,23,14.20%,30.43%,41,25.31%,64,39.51%,The International 2013
Lone Druid,22,13.58%,45.45%,39,24.07%,61,37.65%,The International 2013
Bane,46,28.40%,54.35%,13,8.02%,59,36.42%,The International 2013
Anti-Mage,16,9.88%,68.75%,34,20.99%,50,30.86%,The International 2013
Keeper of the Light,21,12.96%,66.67%,29,17.90%,50,30.86%,The International 2013
Beastmaster,32,19.75%,46.88%,14,8.64%,46,28.40%,The International 2013
Treant Protector,13,8.02%,46.15%,33,20.37%,46,28.40%,The International 2013
Bounty Hunter,20,12.35%,55.00%,24,14.81%,44,27.16%,The International 2013
Timbersaw,24,14.81%,45.83%,18,11.11%,42,25.93%,The International 2013
Queen of Pain,17,10.49%,41.18%,22,13.58%,39,24.07%,The International 2013
Enigma,20,12.35%,45.00%,18,11.11%,38,23.46%,The International 2013
Storm Spirit,18,11.11%,50.00%,19,11.73%,37,22.84%,The International 2013
Clockwerk,23,14.20%,47.83%,13,8.02%,36,22.22%,The International 2013
Shadow Fiend,22,13.58%,54.55%,13,8.02%,35,21.60%,The International 2013
Vengeful Spirit,26,16.05%,42.31%,8,4.94%,34,20.99%,The International 2013
Jakiro,19,11.73%,42.11%,15,9.26%,34,20.99%,The International 2013
Magnus,19,11.73%,52.63%,11,6.79%,30,18.52%,The International 2013
Crystal Maiden,26,16.05%,61.54%,2,1.23%,28,17.28%,The International 2013
Tinker,12,7.41%,25.00%,16,9.88%,28,17.28%,The International 2013
Spectre,13,8.02%,46.15%,11,6.79%,24,14.81%,The International 2013
Windranger,17,10.49%,47.06%,5,3.09%,22,13.58%,The International 2013
Leshrac,12,7.41%,33.33%,10,6.17%,22,13.58%,The International 2013
Juggernaut,9,5.56%,33.33%,11,6.79%,20,12.35%,The International 2013
Sand King,15,9.26%,20.00%,5,3.09%,20,12.35%,The International 2013
Ursa,11,6.79%,72.73%,8,4.94%,19,11.73%,The International 2013
Doom,11,6.79%,27.27%,7,4.32%,18,11.11%,The International 2013
Chaos Knight,13,8.02%,61.54%,4,2.47%,17,10.49%,The International 2013
Earthshaker,13,8.02%,69.23%,3,1.85%,16,9.88%,The International 2013
Mirana,10,6.17%,60.00%,5,3.09%,15,9.26%,The International 2013
Tidehunter,14,8.64%,42.86%,1,0.62%,15,9.26%,The International 2013
Templar Assassin,6,3.70%,33.33%,8,4.94%,14,8.64%,The International 2013
Morphling,9,5.56%,55.56%,3,1.85%,12,7.41%,The International 2013
Phantom Lancer,8,4.94%,50.00%,4,2.47%,12,7.41%,The International 2013
Venomancer,9,5.56%,44.44%,3,1.85%,12,7.41%,The International 2013
Lina,9,5.56%,44.44%,2,1.23%,11,6.79%,The International 2013
Viper,4,2.47%,75.00%,5,3.09%,9,5.56%,The International 2013
Skywrath Mage,4,2.47%,25.00%,3,1.85%,7,4.32%,The International 2013
Silencer,5,3.09%,40.00%,1,0.62%,6,3.70%,The International 2013
Pudge,4,2.47%,75.00%,1,0.62%,5,3.09%,The International 2013
Kunkka,3,1.85%,33.33%,2,1.23%,5,3.09%,The International 2013
Disruptor,1,0.62%,0.00%,4,2.47%,5,3.09%,The International 2013
Axe,2,1.23%,50.00%,2,1.23%,4,2.47%,The International 2013
Lion,4,2.47%,0.00%,0,0.00%,4,2.47%,The International 2013
Lich,3,1.85%,33.33%,1,0.62%,4,2.47%,The International 2013
Faceless Void,2,1.23%,0.00%,2,1.23%,4,2.47%,The International 2013
Luna,4,2.47%,50.00%,0,0.00%,4,2.47%,The International 2013
Ancient Apparition,2,1.23%,100.00%,2,1.23%,4,2.47%,The International 2013
Sven,2,1.23%,50.00%,1,0.62%,3,1.85%,The International 2013
Clinkz,2,1.23%,50.00%,1,0.62%,3,1.85%,The International 2013
Undying,2,1.23%,50.00%,1,0.62%,3,1.85%,The International 2013
Bloodseeker,2,1.23%,0.00%,0,0.00%,2,1.23%,The International 2013
Shadow Shaman,1,0.62%,100.00%,1,0.62%,2,1.23%,The International 2013
Slardar,2,1.23%,50.00%,0,0.00%,2,1.23%,The International 2013
Pugna,2,1.23%,50.00%,0,0.00%,2,1.23%,The International 2013
Dazzle,2,1.23%,0.00%,0,0.00%,2,1.23%,The International 2013
Omniknight,2,1.23%,50.00%,0,0.00%,2,1.23%,The International 2013
Spirit Breaker,1,0.62%,0.00%,1,0.62%,2,1.23%,The International 2013
Meepo,1,0.62%,0.00%,1,0.62%,2,1.23%,The International 2013
Slark,2,1.23%,0.00%,0,0.00%,2,1.23%,The International 2013
Tiny,1,0.62%,0.00%,0,0.00%,1,0.62%,The International 2013
Zeus,1,0.62%,0.00%,0,0.00%,1,0.62%,The International 2013
Sniper,1,0.62%,100.00%,0,0.00%,1,0.62%,The International 2013
Warlock,1,0.62%,0.00%,0,0.00%,1,0.62%,The International 2013
Wraith King,1,0.62%,100.00%,0,0.00%,1,0.62%,The International 2013
Night Stalker,1,0.62%,100.00%,0,0.00%,1,0.62%,The International 2013
Broodmother,1,0.62%,0.00%,0,0.00%,1,0.62%,The International 2013
Invoker,1,0.62%,100.00%,0,0.00%,1,0.62%,The International 2013
Ogre Magi,1,0.62%,0.00%,0,0.00%,1,0.62%,The International 2013
Bristleback,0,0.00%,0.00%,1,0.62%,1,0.62%,The International 2013
Lycan,44,10.76%,63.64%,329,80.44%,373,91.20%,The International 2014
Batrider,82,20.05%,53.66%,248,60.64%,330,80.68%,The International 2014
Mirana,192,46.94%,53.12%,102,24.94%,294,71.88%,The International 2014
Doom,122,29.83%,59.84%,171,41.81%,293,71.64%,The International 2014
Brewmaster,122,29.83%,45.08%,151,36.92%,273,66.75%,The International 2014
Invoker,111,27.14%,45.05%,157,38.39%,268,65.53%,The International 2014
Ancient Apparition,106,25.92%,49.06%,114,27.87%,220,53.79%,The International 2014
Treant Protector,136,33.25%,54.41%,78,19.07%,214,52.32%,The International 2014
Tidehunter,103,25.18%,47.57%,103,25.18%,206,50.37%,The International 2014
Shadow Demon,114,27.87%,50.00%,86,21.03%,200,48.90%,The International 2014
Razor,108,26.41%,45.37%,87,21.27%,195,47.68%,The International 2014
Naga Siren,40,9.78%,42.50%,140,34.23%,180,44.01%,The International 2014
Sand King,96,23.47%,41.67%,83,20.29%,179,43.77%,The International 2014
Wraith King,110,26.89%,50.91%,69,16.87%,179,43.77%,The International 2014
Shadow Shaman,124,30.32%,53.23%,51,12.47%,175,42.79%,The International 2014
Viper,80,19.56%,50.00%,93,22.74%,173,42.30%,The International 2014
Io,45,11.00%,37.78%,128,31.30%,173,42.30%,The International 2014
Rubick,103,25.18%,53.40%,61,14.91%,164,40.10%,The International 2014
Centaur Warrunner,100,24.45%,51.00%,64,15.65%,164,40.10%,The International 2014
Natures Prophet,103,25.18%,58.25%,59,14.43%,162,39.61%,The International 2014
Morphling,79,19.32%,58.23%,81,19.80%,160,39.12%,The International 2014
Dark Seer,74,18.09%,44.59%,80,19.56%,154,37.65%,The International 2014
Tinker,33,8.07%,39.39%,104,25.43%,137,33.50%,The International 2014
Faceless Void,62,15.16%,41.94%,68,16.63%,130,31.78%,The International 2014
Enchantress,58,14.18%,55.17%,66,16.14%,124,30.32%,The International 2014
Skywrath Mage,88,21.52%,48.86%,32,7.82%,120,29.34%,The International 2014
Ember Spirit,45,11.00%,46.67%,74,18.09%,119,29.10%,The International 2014
Enigma,59,14.43%,55.93%,57,13.94%,116,28.36%,The International 2014
Weaver,67,16.38%,65.67%,48,11.74%,115,28.12%,The International 2014
Dragon Knight,61,14.91%,55.74%,48,11.74%,109,26.65%,The International 2014
Templar Assassin,44,10.76%,56.82%,60,14.67%,104,25.43%,The International 2014
Puck,63,15.40%,46.03%,39,9.54%,102,24.94%,The International 2014
Dazzle,58,14.18%,48.28%,39,9.54%,97,23.72%,The International 2014
Nyx Assassin,50,12.22%,50.00%,42,10.27%,92,22.49%,The International 2014
Disruptor,53,12.96%,52.83%,37,9.05%,90,22.00%,The International 2014
Earthshaker,63,15.40%,55.56%,25,6.11%,88,21.52%,The International 2014
Bane,50,12.22%,44.00%,35,8.56%,85,20.78%,The International 2014
Lich,46,11.25%,45.65%,39,9.54%,85,20.78%,The International 2014
Death Prophet,30,7.33%,56.67%,51,12.47%,81,19.80%,The International 2014
Shadow Fiend,40,9.78%,55.00%,36,8.80%,76,18.58%,The International 2014
Outworld Devourer,26,6.36%,46.15%,47,11.49%,73,17.85%,The International 2014
Pugna,19,4.65%,52.63%,52,12.71%,71,17.36%,The International 2014
Storm Spirit,29,7.09%,44.83%,39,9.54%,68,16.63%,The International 2014
Clockwerk,40,9.78%,60.00%,27,6.60%,67,16.38%,The International 2014
Luna,32,7.82%,56.25%,32,7.82%,64,15.65%,The International 2014
Slark,26,6.36%,50.00%,31,7.58%,57,13.94%,The International 2014
Lifestealer,33,8.07%,39.39%,21,5.13%,54,13.20%,The International 2014
Visage,25,6.11%,64.00%,29,7.09%,54,13.20%,The International 2014
Venomancer,27,6.60%,40.74%,23,5.62%,50,12.22%,The International 2014
Witch Doctor,38,9.29%,55.26%,11,2.69%,49,11.98%,The International 2014
Axe,18,4.40%,44.44%,24,5.87%,42,10.27%,The International 2014
Queen of Pain,29,7.09%,41.38%,12,2.93%,41,10.02%,The International 2014
Lone Druid,17,4.16%,41.18%,24,5.87%,41,10.02%,The International 2014
Keeper of the Light,26,6.36%,61.54%,15,3.67%,41,10.02%,The International 2014
Timbersaw,34,8.31%,38.24%,7,1.71%,41,10.02%,The International 2014
Bristleback,26,6.36%,46.15%,15,3.67%,41,10.02%,The International 2014
Vengeful Spirit,37,9.05%,48.65%,3,0.73%,40,9.78%,The International 2014
Jakiro,29,7.09%,27.59%,10,2.44%,39,9.54%,The International 2014
Chen,26,6.36%,38.46%,13,3.18%,39,9.54%,The International 2014
Alchemist,29,7.09%,58.62%,8,1.96%,37,9.05%,The International 2014
Tiny,24,5.87%,45.83%,12,2.93%,36,8.80%,The International 2014
Gyrocopter,19,4.65%,42.11%,16,3.91%,35,8.56%,The International 2014
Elder Titan,22,5.38%,50.00%,12,2.93%,34,8.31%,The International 2014
Kunkka,20,4.89%,55.00%,13,3.18%,33,8.07%,The International 2014
Lion,20,4.89%,35.00%,6,1.47%,26,6.36%,The International 2014
Anti-Mage,10,2.44%,40.00%,14,3.42%,24,5.87%,The International 2014
Leshrac,19,4.65%,47.37%,5,1.22%,24,5.87%,The International 2014
Ursa,14,3.42%,50.00%,10,2.44%,24,5.87%,The International 2014
Troll Warlord,10,2.44%,50.00%,13,3.18%,23,5.62%,The International 2014
Abaddon,11,2.69%,72.73%,11,2.69%,22,5.38%,The International 2014
Meepo,7,1.71%,42.86%,13,3.18%,20,4.89%,The International 2014
Windranger,18,4.40%,38.89%,1,0.24%,19,4.65%,The International 2014
Spectre,9,2.20%,55.56%,10,2.44%,19,4.65%,The International 2014
Drow Ranger,9,2.20%,55.56%,6,1.47%,15,3.67%,The International 2014
Phantom Assassin,8,1.96%,12.50%,7,1.71%,15,3.67%,The International 2014
Silencer,10,2.44%,20.00%,5,1.22%,15,3.67%,The International 2014
Juggernaut,12,2.93%,66.67%,2,0.49%,14,3.42%,The International 2014
Clinkz,7,1.71%,28.57%,6,1.47%,13,3.18%,The International 2014
Slardar,7,1.71%,42.86%,5,1.22%,12,2.93%,The International 2014
Night Stalker,9,2.20%,55.56%,3,0.73%,12,2.93%,The International 2014
Beastmaster,10,2.44%,50.00%,1,0.24%,11,2.69%,The International 2014
Bounty Hunter,9,2.20%,44.44%,2,0.49%,11,2.69%,The International 2014
Magnus,6,1.47%,33.33%,5,1.22%,11,2.69%,The International 2014
Bloodseeker,3,0.73%,33.33%,6,1.47%,9,2.20%,The International 2014
Undying,8,1.96%,62.50%,1,0.24%,9,2.20%,The International 2014
Pudge,7,1.71%,28.57%,1,0.24%,8,1.96%,The International 2014
Sniper,5,1.22%,40.00%,3,0.73%,8,1.96%,The International 2014
Huskar,5,1.22%,20.00%,3,0.73%,8,1.96%,The International 2014
Tusk,6,1.47%,33.33%,2,0.49%,8,1.96%,The International 2014
Lina,6,1.47%,33.33%,0,0.00%,6,1.47%,The International 2014
Warlock,3,0.73%,100.00%,3,0.73%,6,1.47%,The International 2014
Ogre Magi,4,0.98%,25.00%,2,0.49%,6,1.47%,The International 2014
Phantom Lancer,4,0.98%,75.00%,1,0.24%,5,1.22%,The International 2014
Riki,3,0.73%,0.00%,2,0.49%,5,1.22%,The International 2014
Chaos Knight,3,0.73%,33.33%,2,0.49%,5,1.22%,The International 2014
Crystal Maiden,4,0.98%,25.00%,0,0.00%,4,0.98%,The International 2014
Zeus,3,0.73%,33.33%,1,0.24%,4,0.98%,The International 2014
Sven,2,0.49%,50.00%,1,0.24%,3,0.73%,The International 2014
Necrophos,2,0.49%,50.00%,1,0.24%,3,0.73%,The International 2014
Omniknight,1,0.24%,100.00%,2,0.49%,3,0.73%,The International 2014
Medusa,1,0.24%,0.00%,2,0.49%,3,0.73%,The International 2014
Queen of Pain,197,48.40%,49.75%,188,46.19%,385,94.59%,The International 2015
Gyrocopter,189,46.44%,56.08%,177,43.49%,366,89.93%,The International 2015
Leshrac,121,29.73%,52.07%,226,55.53%,347,85.26%,The International 2015
Undying,98,24.08%,54.08%,240,58.97%,338,83.05%,The International 2015
Shadow Fiend,139,34.15%,43.17%,156,38.33%,295,72.48%,The International 2015
Earthshaker,178,43.73%,48.88%,98,24.08%,276,67.81%,The International 2015
Io,70,17.20%,48.57%,173,42.51%,243,59.71%,The International 2015
Lina,162,39.80%,46.30%,73,17.94%,235,57.74%,The International 2015
Clockwerk,135,33.17%,48.89%,95,23.34%,230,56.51%,The International 2015
Dazzle,133,32.68%,53.38%,90,22.11%,223,54.79%,The International 2015
Dark Seer,113,27.76%,51.33%,106,26.04%,219,53.81%,The International 2015
Rubick,153,37.59%,45.10%,58,14.25%,211,51.84%,The International 2015
Broodmother,32,7.86%,62.50%,174,42.75%,206,50.61%,The International 2015
Bounty Hunter,72,17.69%,66.67%,131,32.19%,203,49.88%,The International 2015
Storm Spirit,91,22.36%,52.75%,101,24.82%,192,47.17%,The International 2015
Phantom Lancer,62,15.23%,56.45%,109,26.78%,171,42.01%,The International 2015
Tusk,95,23.34%,51.58%,70,17.20%,165,40.54%,The International 2015
Viper,57,14.00%,47.37%,107,26.29%,164,40.29%,The International 2015
Spirit Breaker,76,18.67%,55.26%,86,21.13%,162,39.80%,The International 2015
Naga Siren,47,11.55%,53.19%,111,27.27%,158,38.82%,The International 2015
Witch Doctor,111,27.27%,54.95%,39,9.58%,150,36.86%,The International 2015
Winter Wyvern,73,17.94%,38.36%,72,17.69%,145,35.63%,The International 2015
Disruptor,83,20.39%,49.40%,57,14.00%,140,34.40%,The International 2015
Bloodseeker,56,13.76%,41.07%,83,20.39%,139,34.15%,The International 2015
Drow Ranger,37,9.09%,54.05%,87,21.38%,124,30.47%,The International 2015
Lion,84,20.64%,52.38%,36,8.85%,120,29.48%,The International 2015
Bristleback,54,13.27%,50.00%,63,15.48%,117,28.75%,The International 2015
Razor,58,14.25%,41.38%,51,12.53%,109,26.78%,The International 2015
Dragon Knight,65,15.97%,49.23%,42,10.32%,107,26.29%,The International 2015
Ancient Apparition,41,10.07%,51.22%,58,14.25%,99,24.32%,The International 2015
Visage,36,8.85%,58.33%,63,15.48%,99,24.32%,The International 2015
Templar Assassin,43,10.57%,72.09%,47,11.55%,90,22.11%,The International 2015
Shadow Demon,46,11.30%,36.96%,43,10.57%,89,21.87%,The International 2015
